Time(s)	Temp(K)	mass1.95734	mass11.6511	mass17.6364	mass27.8653	mass28.1	mass30.9313	mass44.06	mass60.5124
0.0	130.36	3904.5731018356323	393.7454445180406	2378.1988366900423	1723.2651529344912	1465.7723622128938	329.6174234821182	717.0474675519738	101.36751981086407
0.8230469226837158	130.54	3262.0192465700343	373.04871478946586	2386.566683724918	1757.0040065043338	1454.475131893358	321.1222119566048	677.5390025562575	100.46323192733863
1.6400938034057617	130.74	3097.9228368328304	357.2045721541754	2266.6784886879495	1704.300580278585	1390.8310959218577	312.5123723895177	658.1668635303116	99.59715339100444
2.4571404457092285	131.15	2913.5245272880275	348.1616933189212	2121.088139440357	1627.6908391601987	1357.0030872085686	304.9469216456571	624.0586529376204	98.96033093781752
3.349191427230835	131.95	2967.0048769066643	346.07291567246807	1916.4643487823373	1474.2675737384072	1247.3677336679095	308.6404918741412	612.8633142105945	99.03674963219994
4.166238307952881	132.77	2740.3979751646325	327.46496359034643	1759.0036290073406	1433.8293479610381	1206.993190135859	289.90517530138214	580.95850930593	96.79513459698201
4.994285583496094	134.36	2520.5031820791905	323.1218344596117	1675.0831661263692	1374.018983157723	1191.505668074353	280.00895437885754	542.7618985637788	97.35553835578648
5.830333232879639	136.71	2365.7425895057063	326.7135130955859	1567.2054425565057	1339.4013146024827	1152.0099395277005	275.58940655374033	536.5847207678656	94.9610859318037
6.711383581161499	139.91	2289.298422225149	312.69068267641006	1475.643110237291	1328.7791160833247	1156.7478985794112	262.8784303881295	513.2006002868421	97.0626000273205
7.530430555343628	143.52	2272.1806346834846	319.7848848049122	1433.8420844101017	1330.0272880915709	1207.0823452793052	264.3303855813957	515.3021143823589	96.50219626851602
8.355477809906006	148.56	2138.6007569029975	310.258020905236	1433.778402164783	1443.3434754116506	1237.4842491944482	252.91852722028614	517.1871088437923	96.22199438911377
9.180525064468384	153.73	2240.759814843242	313.4166602730431	1347.39980461451	1429.8173665059605	1241.1396100757413	259.00654987275306	520.5240584984917	95.25402426026966
10.06557559967041	160.43	2216.344041988056	306.9847534958553	1344.8907241489535	1346.9285559991517	1168.6564784540067	261.6939406252019	516.9196434134537	97.2281738651491
10.888622522354126	166.48	2120.935302051592	311.8882863853945	1434.084076942313	1346.8903466519605	1145.6926607920864	254.2685908210424	514.3596171516423	94.38794572393546
11.712669610977173	173.3	2240.7980241904334	307.2012731299388	1384.539290084371	1242.273154042414	1084.2265576104853	257.745641415443	524.5869857498242	95.83990091720163
12.576719045639038	179.64	2304.2128040787866	311.76092189475713	1454.067565523318	1292.7349652329451	1129.1098041110993	263.93555566041977	522.7911464318371	96.83334394417322
13.453769445419312	186.13	2263.074073602912	317.8234716490966	1524.4746559476635	1285.296878979722	1116.258727005787	268.6989876102579	558.7334056897066	96.33662243068741
14.42882513999939	190.85	2429.8833469906926	329.0315468251863	1525.1624241971053	1314.7690221132125	1161.9188968992892	276.9394701544966	560.7330281927135	97.7248953786349
15.24787187576294	194.43	2503.563704824419	337.7305415357195	1572.045293200726	1333.1477181121868	1148.825827261766	270.46935403011753	574.14450905683	97.24091031421284
16.065918684005737	197.83	2488.598377174526	342.65954732338633	1635.6256469269078	1340.9042155920033	1171.369342104583	275.8696084331426	577.6215596512305	96.66777010634462
16.930968284606934	200.31	2540.4484613130044	337.46307610538105	1689.4753535683935	1382.3231479472802	1168.3635401255406	276.62105892790316	582.8689766654908	96.97344488387434
17.756015300750732	202.66	2414.841600646417	336.2276405461984	1662.1556703266747	1426.9516654666195	1191.0981017043134	270.44388113199005	579.1754064370066	97.43195705016892
18.58906316757202	204.49	2404.2321385763235	340.0103659181287	1724.4623791464824	1421.424046572957	1191.0089465608673	274.6341728739599	589.1225731557863	97.07533647638425
19.412110090255737	206.24	2583.8033339259696	343.1817417349995	1684.2534094522607	1365.1926239565523	1197.364434643673	275.60214300280404	582.7161392767258	96.9607084348106
20.32216215133667	207.81	2451.4971010518566	338.81313970613735	1743.8854639686836	1407.171960070634	1191.7731335046915	273.220427027885	586.6644384864848	96.83334394417322
21.154209852218628	209.64	2423.7061691947792	342.379345443984	1739.8989554117334	1428.7475047846067	1186.5257164904315	276.76115986760425	578.6404755763295	97.86499631833601
22.126265287399292	211.12	2502.3664786124273	335.2596704173543	1659.0097674079311	1387.506882716222	1229.6768059183769	277.33430007547247	583.1237056467655	98.00509725803715
22.943312168121338	212.39	2516.185525846583	339.44996215932423	1632.9000468272677	1370.2872035820476	1195.5303859784945	277.9965954267869	579.9141204827034	98.41266362807677
23.8123619556427	214.09	2537.4299228848986	338.2272630492053	1674.548235265692	1365.4473529378272	1186.8186548188976	275.4365691649755	599.3372053049043	98.42540007714051
24.675411224365234	215.83	2506.87518158099	328.8532365382939	1620.4692725410594	1391.1240342503236	1213.2340501770907	271.81941763087383	573.507686603643	97.33006545765902
25.49945831298828	217.32	2402.410826360209	342.77417536495994	1658.6531468341468	1400.065021493068	1164.7081792442477	273.99735042077305	580.0032756261495	97.08807292544799
26.335506200790405	219.37	2355.5152209075245	341.02928184322775	1689.7428189987318	1414.7119379163669	1175.445005804979	268.8136156518316	567.763548075897	97.18996451795789
27.214556455612183	221.6	2391.34285212382	338.1253714566954	1631.142416856472	1353.3986721235308	1155.5634088164836	266.92862119039825	601.6042932382497	97.73763182769864
28.064605236053467	223.88	2408.384220971102	331.7189375776351	1599.1229839102339	1353.1566795913197	1174.0185235098404	272.8765429031641	600.1141286977924	97.69942248050742
