Time(s)	Temp(K)	mass1.95734	mass11.6511	mass17.6364	mass27.8653	mass28.1	mass30.9313	mass44.06	mass60.5124
0.0	132.85	3127.471398660703	306.3351945936046	1776.4270913265348	1249.9277599297209	1083.7043631988722	214.11056692307554	585.3907935801109	95.52148969060818
0.8220469951629639	132.85	2457.190293783347	296.4771830182712	1739.5168619398214	1217.2332951831047	1014.6473363752829	202.5203982750737	554.6959513365016	96.06915700034892
1.6410939693450928	133.25	2246.9497290882186	281.1679712436577	1553.5264962620506	1126.9573442193273	958.1357118794762	194.12707834207012	517.2380546400472	94.27331768236182
2.4671411514282227	133.76	2143.325979505644	271.2590138720693	1384.5010807371798	998.4083638190167	894.3515749682747	186.1413247791062	483.76666650054295	93.41997559509134
3.360192060470581	135.41	1806.0775447469175	254.21764502478743	1242.6425110652624	968.7069646023789	824.8232995293273	181.1104273989296	446.3979249475348	93.99311580295958
4.179238796234131	137.66	1703.3835559459956	256.1790581806032	1113.0746147398527	918.7800842725248	792.09062543552	172.28406819775896	424.873326029817	93.95490645576835
4.99828577041626	140.89	1632.4415346609733	250.19292712064615	1024.288828316533	872.9670769902581	786.9196271156421	172.08028501273913	412.58265268330956	93.44544849321883
5.822332859039307	146.7	1550.1258643620326	252.1670767255256	963.6633307731386	860.1414727830736	771.5212601975825	164.57851651419728	417.5880771653587	92.93599053066929
6.70538330078125	155.03	1529.2635607956292	254.40869176074355	943.7689973355793	951.6528593060333	857.2757717437325	167.59705494230323	409.02918339452657	93.8020690670035
7.524430274963379	164.16	1543.974159464247	244.9837194535772	931.6948436231555	956.8493305240386	847.1502947380607	167.54610914604828	394.3058482768451	93.84027841419471
8.342477083206177	175.97	1572.4146502235747	243.11146144120767	957.2059510978232	867.4267216475318	752.4420595001025	163.30487160782343	393.9237548049329	94.00585225202333
9.17752480506897	186.79	1634.4284207149165	248.7537083764437	978.8833874043057	846.1823246092165	743.8831657292703	163.76338377411798	413.07937419679536	93.08882791943417
10.055575132369995	198.47	1687.1827927369204	257.98763394765405	1034.1341034428026	870.2796862378093	772.9477424927211	167.94093906702417	425.98139709836227	93.72565037262108
10.873621702194214	208.95	1711.2674179164499	264.5723781136067	1084.8506436146085	889.7155075090741	784.1176083216196	171.04863263857632	448.3848110014779	94.1332167426607
11.699668884277344	216.78	1803.3901539944688	264.12660239637586	1069.0701832246368	888.7857467274212	807.030480187285	180.94485356110098	462.5604788094187	93.41997559509134
12.51671576499939	224.31	1843.3698676055433	271.6665802421089	1103.2548125117105	895.0393432177166	808.1640241539576	176.06679356968925	458.650388946851	94.09500739546948
13.406766653060913	230.78	1768.0592442916586	267.6928081342226	1149.6282235527815	943.9600440715353	823.664282664527	172.11849435993034	467.41306590270295	93.68744102542986
14.236814022064209	235.96	1758.7361635770023	270.1254699053966	1129.7338901152223	928.3451575193923	805.3110595636803	176.44888704160135	466.3304677322852	93.4327120441551
15.055860996246338	241.3	1772.325954728011	270.13820635446035	1145.8709710789788	931.5929520306456	815.0671795465038	176.32152255096395	471.94724176939377	93.85301486325847
15.881908178329468	245.84	1801.7216791671192	268.44425862898316	1108.6423304656716	911.9406111252972	821.9448620409224	174.0034888213636	466.5597238154325	94.79551209397508
16.746957778930664	251.2	1830.2640615189566	265.28561926117607	1111.1768838293556	911.7750372874688	820.8877367686322	175.06061409365387	483.5628833155231	94.08227094640574
17.574004888534546	256.68	1778.312085787968	270.252834396034	1186.9078099623437	952.506201393304	841.9156141728641	176.25784030564526	482.07271877506577	93.66196812730237
18.416053295135498	261.54	1827.7167717062089	272.40529428780576	1159.4225528827963	938.3177971362994	830.9367950799216	175.02240474646268	501.61043163884034	94.01858870108704
19.234099864959717	267.17	1819.6545994488624	268.97918948966014	1162.2755174730737	957.995610939775	839.8523094245385	176.5253057359838	489.1923938016954	93.4327120441551
20.102149724960327	272.78	1827.2837324380419	273.53883825447843	1175.9672002165923	976.832819105044	854.5629080931562	175.6592271996496	484.1360235233914	93.29261110445395
20.935197114944458	277.68	1839.943762807398	268.5334137724293	1163.9567287494872	998.8414030871837	875.6035219464519	175.13703278803632	489.15418445450416	93.13977371568912
21.754244089126587	283.93	1830.7735194815061	275.80592618782384	1147.0045150456515	1017.9078673356	895.7653208143497	176.94560855508718	475.16956338251964	94.20963543704313
22.59629225730896	289.29	1921.3806181209407	272.60907747282556	1164.593551202674	991.4160532830244	897.1663302113609	176.10500291688044	479.5254289623181	93.58554943291995
23.466342210769653	295.48	1860.1055616752953	270.6731372151374	1173.8147403248206	1011.1575493318187	880.4688454888	175.48091691275724	478.95228875444985	93.12703726662538
24.291389226913452	301.72	1904.9888081759093	268.0366922589435	1094.2501430236473	974.3364750885512	886.5696045903305	174.69125707080548	471.74345858437397	93.9039606595134
25.1154363155365	307.18	1895.703936808444	271.857626978065	1142.6868588130442	978.246564951119	877.348415468184	176.90739920789596	484.8874740181519	94.17142608985192
25.933483362197876	313.48	1879.1338165765208	266.6611557600598	1129.020648967653	1029.1286789607536	898.5928125064996	179.27637873375124	478.3664120975179	93.76385971981229
26.825534105300903	319.68	2012.2169728435222	275.89508133127003	1128.2309891257014	1006.954521140785	913.0486821938426	179.96414698319316	490.2749919721131	94.74456629772013
