Time(s)	Temp(K)	mass1.95734	mass11.6511	mass17.6364	mass27.8653	mass28.1	mass30.9313	mass44.06	mass60.5124
0.0	123.7	4625.481591741348	503.3043793643175	4101.020092194732	3130.5790922322553	2560.7758340187306	873.2345424205965	1071.2353795654724	118.40888865814591
0.8500485420227051	123.9	3882.730091691321	503.8520466740582	4222.933382632835	3187.2690270149546	2595.0114091020596	892.0208047896106	1046.5648777290112	116.19274652105544
1.6690952777862549	123.97	3756.550090816865	486.17385537358945	3934.312710399461	2995.4963134622467	2483.873154571879	856.1677006751872	973.8524900241292	114.85541936936292
2.509143590927124	124.33	3659.383720909606	474.99125309562726	3595.5613746512136	2642.9514033779706	2231.576835068287	823.8553294004831	940.1009000052227	112.90674266261095
3.4011943340301514	125.1	3084.982604584072	449.9513942363177	3340.259253168579	2525.9416458294063	2065.3152289902473	709.1126597852649	831.1278418158778	109.91367713263246
4.225241422653198	126.09	2901.947095089089	433.9162048650712	2753.491044802155	2373.0660477173556	2042.198573939562	681.8948681360561	796.3828087699997	106.48757233448687
5.042288303375244	127.9	2612.5877088100183	416.4927425458772	2523.063208341002	2451.7518300331312	2131.9268575935985	649.1367211441211	846.3606348961088	105.43044706219658
5.870335578918457	131.09	2384.4779060784654	423.1411689571486	2407.8365536613614	3329.5478995059752	3050.3139902325765	607.093702784721	827.8418379574333	104.3096395445876
6.750385999679565	136.35	2309.587585583684	424.04545684067403	2274.7916067415513	3526.8991777486003	2792.75751726566	572.7307632107551	1002.7387565006878	104.24595729926891
7.569432735443115	142.91	2196.3605534070502	427.5479803332021	2049.394667660574	2468.551206348202	2060.348013855389	555.9186504466205	973.814280676938	103.55818904982705
8.39247989654541	152.9	2252.897650800985	402.3934934323189	2068.5884963996277	2168.3785748140176	1830.5952091946137	553.8298728001673	739.5909823947904	103.32893296667976
9.211526870727539	163.16	2274.931707681252	395.5794931832189	2046.4143385796594	1975.3449528039998	1711.7259300827443	567.2668265624112	703.4449399519011	103.26525072136106
10.098577499389648	177.11	2377.765797421875	418.08479867884444	2220.2541318506237	2055.6482641508696	1833.9066859511859	586.8809581205683	722.727923834401	104.15680215582275
10.950626134872437	187.24	2459.8522116376685	427.96828315230545	2312.950008136511	2140.103657892518	1846.4011424827133	606.2785700446417	774.2086509500313	104.92098909964704
11.768672943115234	197.38	2550.433837378975	437.9409227692125	2458.22194615751	2248.1469553002103	1905.7529951197334	624.3388548170226	794.6506516973313	104.36058534084255
12.586719989776611	204.96	2553.9490973205666	441.18871728046577	2621.5796418490177	2345.9883570078487	1944.2425441903506	626.7587801391329	819.9579759869792	108.5636135318762
13.455769538879395	212.02	2673.0858418627754	452.57510274344787	2689.872481728782	2418.000240014225	2019.8333693836378	637.5210795979917	797.7201359216922	108.35983034685638
14.273816347122192	217.13	2692.572608930295	452.6897307850215	2617.8223893752147	2431.5136124708506	2071.8999731562	656.294605517942	819.1301067978362	107.03523964422759
15.1118643283844	222.17	2805.3538653896976	466.50877801917756	2619.0323520362704	2420.789522359183	2091.7560972465676	653.912889543023	829.077273516616	106.97155739890891
15.928910970687866	226.16	2824.050972615265	469.29806036413623	2605.4807702324524	2426.164303864081	2097.48749932525	649.1876669403761	800.7641472479256	106.72956486669788
16.79796051979065	230.32	2757.566708502551	483.1553169454835	2736.717141385212	2410.1418509418977	2077.5931658876907	651.6840109568687	836.5026233207753	107.7994265880519
17.616007566452026	234.48	2766.1765480696386	465.948374260373	2721.44613895779	2388.489887533543	2093.208052439834	643.3416368201201	875.0049088404563	106.04179661725601
18.45105528831482	238.11	2716.033148105701	483.3973094776945	2779.065834522142	2451.981086116278	2100.4678284061647	646.6276406785646	836.5790420151578	106.1691611078934
19.29110336303711	242.44	2691.044235042646	475.18229983158335	2809.671521622305	2634.545346995903	2198.258284317548	643.8128854354785	813.1312392888156	108.24520230528275
20.15915274620056	246.96	2759.821059986833	473.8704455780183	2903.895771795841	2734.0170141836993	2284.866137950968	634.7954794983518	832.5925334582076	107.3409144217573
21.01120162010193	251.54	2837.3732983359355	486.05922733201584	2831.3871672759788	2709.9323890041705	2393.775513894994	648.3980070984243	831.1278418158778	106.72956486669788
21.828248500823975	255.61	2784.8099730498875	487.0017245627325	2873.7995426582274	2859.5347197068404	2494.418934396654	644.4114985414743	826.249781824466	107.21354993111994
22.65129542350769	260.46	2746.3586333264616	518.4098079539112	2992.592403075714	2993.5985825517496	2547.1733064186583	660.9943552224615	874.2789312438232	106.04179661725601
23.5263454914093	265.52	2790.2739096982314	499.96742970961805	2919.8035966764505	3186.543049418321	2790.6177938229525	666.662075055825	892.1736421783755	105.09929938653937
24.35139274597168	270.01	2781.1673486176583	516.5630228396691	2942.117855436119	3214.512291562291	2774.5443951045145	683.2958775330671	923.0213218107497	107.49375181052218
25.18544054031372	274.28	2851.4088652041755	530.241969134124	3038.0360533351322	3285.5944137870138	2707.2322618026583	667.833828369689	915.7870187425463	107.93952752775301
26.002487182617188	278.95	2796.2218314109973	512.4746226902091	2907.576605575261	3086.4345597773386	2671.4173670354257	684.7350962772697	898.1852461364599	106.71682841763415
26.87853741645813	284.28	2829.0181877501236	501.725059680414	2892.2673938006474	3063.827362689203	2612.5877088100183	682.0477055248208	887.6012569644935	107.5319611577134
27.735586166381836	289.71	2886.2430533935	501.91610641637	2891.643307796525	2778.7983690918036	2392.8839624605325	709.1253962343286	904.7827267514764	104.95919844683826
28.569633960723877	294.42	2935.8897318439513	500.6679344081237	2965.017990852721	2714.211835889586	2290.419229742758	695.4209770417461	937.8847578681323	106.99703029703639
29.41068196296692	299.82	2745.6199192807653	473.4756156570424	2924.5288192790968	2707.2832075989127	2264.7552848793252	694.2237508297547	899.0895340199853	107.49375181052218
30.27973198890686	305.36	2815.7595442747715	468.4319818278021	2846.912898684676	2711.3970806465	2281.7329714812886	707.2404017728953	911.5712541024488	107.39186021801227
31.130780696868896	310.88	2946.6265584046832	478.28999340313544	2747.2247118627956	2631.692382405626	2317.089354082226	725.3388958924673	917.5319122642785	107.86310883337059
31.948827266693115	315.44	2892.8914798047713	469.05606783192525	2788.503543278372	2731.164049593422	2286.0124183667044	694.4147975657108	891.0018888645116	105.59602090002517
