Time(s)	Temp(K)	mass27.8653
0.0	131.75	1102.0703227487827
0.15900921821594238	131.85	1018.340906603767
0.3320190906524658	131.85	1002.3693994778394
0.4890279769897461	131.8	1044.7308290638327
0.6850392818450928	131.78	1016.2776018554415
0.843048095703125	131.78	1001.0575452242742
1.0020573139190674	131.78	985.9393801856169
1.1610662937164307	132.03	965.6629532761455
1.3440768718719482	131.93	973.2411404690698
1.5020856857299805	131.93	974.4511031301249
1.660094976425171	131.93	942.7500814104802
1.8171038627624512	132.09	941.642010341935
2.0091147422790527	132.16	924.8426340268643
2.166123867034912	132.27	910.1575082563741
2.3221328258514404	132.27	942.8901823501815
2.486142158508301	132.31	904.7190445061577
2.6641523838043213	132.52	856.9064147208841
2.8221611976623535	132.47	903.7765472754411
2.980170488357544	132.6	839.5975804432637
3.137179374694824	132.69	859.6956970658428
3.324190139770508	132.8	837.5342756949382
3.483199119567871	132.89	819.8433479454056
3.6402082443237305	133.02	825.9950528431913
3.798217296600342	133.43	805.7695717299748
3.9842278957366943	133.58	808.635272769316
4.142236709594727	133.83	796.9814218759952
4.299246072769165	133.96	781.3028530785335
4.456254959106445	134.34	797.5545620838635
4.645265579223633	134.78	771.3429499106901
4.803274631500244	134.92	782.1179858186127
4.9602837562561035	135.18	757.9442054956374
5.118292808532715	135.74	770.4896078234198
5.304303169250488	136.42	769.5343741436393
5.46331262588501	136.74	752.4293230510388
5.621321439743042	137.0	781.0353876481951
5.786330938339233	137.87	774.1959145009674
5.965341091156006	138.79	759.090485911374
6.123350143432617	139.12	756.0337381360767
6.2783591747283936	139.63	742.4057376378768
6.436367988586426	140.47	768.0951553994369
6.623378753662109	141.73	762.8350019361129
6.783388137817383	142.11	755.626171766037
6.939396858215332	142.75	753.4100296289466
7.098406076431274	144.05	764.2742206803152
7.282416582107544	145.5	781.6467372032544
7.442425727844238	146.33	787.5309766707016
7.5984344482421875	147.09	820.8240545233135
7.756443500518799	148.48	847.6215433534189
7.9404542446136475	150.22	839.3683243601165
8.103463649749756	151.11	866.7007440508988
8.261472463607788	151.98	832.4906418656977
8.4194815158844	153.86	856.9828334152666
8.603492021560669	155.93	859.3263400429944
8.763501167297363	156.9	838.9862308882043
8.921510219573975	157.97	822.1104358787511
9.079519271850586	160.02	819.7541928019594
9.263529777526855	162.33	817.9201441367811
9.421539068222046	163.32	814.6214038292729
9.578547954559326	164.45	781.3155895275972
9.736557006835938	166.7	798.2041209861142
9.921567440032959	169.01	779.2904941264628
10.07957649230957	170.31	764.9619889297572
10.23658537864685	171.49	768.7574507507512
10.394594430923462	173.6	731.5542830355716
10.581605195999146	175.84	751.6523996581508
10.742614507675171	177.13	730.7009409483012
10.901623487472534	178.25	747.500317263372
11.058632612228394	180.36	722.3585668115526
11.243643045425415	182.75	731.2358718089783
11.402652025222778	183.78	747.7423097955831
11.56166124343872	184.83	741.6542871431161
11.719670057296753	186.87	763.1279402645789
11.900680541992188	188.94	761.7014579694402
12.062690019607544	189.96	757.5493755746614
12.220699071884155	190.97	762.3892262188821
12.385708332061768	192.83	780.2202549081157
12.560718536376953	194.63	756.8616073252198
12.723727703094482	195.5	752.1363847225728
12.880736589431763	196.39	776.5394211286954
13.037745475769043	198.25	758.5428186016331
13.222756147384644	199.8	762.4019626679458
13.382765531539917	200.53	785.8879747414793
13.540774583816528	201.31	760.3768672668116
13.702783823013306	202.86	782.3599783508238
13.880793809890747	204.26	780.4877203384543
14.042803049087524	204.99	763.7647627177658
14.199812173843384	205.67	803.4005922041194
14.357820987701416	206.97	769.1013348754722
14.541831493377686	208.18	773.4317275571432
14.70284104347229	208.87	796.7266928947205
14.860850095748901	209.46	788.2060084710797
15.019859075546265	210.57	789.6070178680908
15.201869487762451	211.63	816.1370412678577
15.36487865447998	212.21	803.5279566947569
15.522887945175171	212.7	784.3086550575757
15.6858971118927	213.75	803.1585996719085
15.861907243728638	214.64	803.9992053101151
16.02091646194458	215.13	797.3507788988438
16.17892551422119	215.62	798.9937808280661
16.33593440055847	216.57	805.2346408692977
16.521944999694824	217.47	783.6463597062614
16.684954166412354	217.91	810.6094223741954
16.842963457107544	218.31	800.4329995722684
17.00297260284424	219.08	803.8591043704141
17.183983087539673	219.97	804.9162296427043
17.342992067337036	220.33	798.9173621336835
17.500000953674316	220.65	796.3063900756172
17.658010005950928	221.53	782.3727147998875
17.842020511627197	222.27	794.4468685123114
18.003029584884644	222.59	794.9945358220522
18.160038471221924	222.98	794.026565693208
18.318047523498535	223.81	807.5017288026432
18.503058433532715	224.54	810.8768878045339
18.66306757926941	224.88	807.2597362704322
18.81907629966736	225.27	796.3191265246809
18.9780855178833	225.96	804.6615006614295
19.16209602355957	226.8	803.8973137176054
19.322105169296265	227.15	787.9767523879324
19.479114055633545	227.54	808.8772653015269
19.638123273849487	228.21	782.5510250867798
19.82513403892517	229.02	790.0018477890667
19.983143091201782	229.36	818.7098039787329
20.141151905059814	229.74	792.472718907432
20.303161144256592	230.61	808.5843269730609
20.484171628952026	231.32	802.7637697509325
20.642180681228638	231.77	791.7340048617352
20.799189567565918	232.16	814.3157290517431
20.95819878578186	232.94	786.8177355231322
21.14220905303955	233.73	807.8074035801728
21.303218603134155	234.16	801.6174893351962
21.459227323532104	234.54	802.7128239546776
21.618236541748047	235.35	805.4638969524451
21.802247047424316	236.24	793.6826815684872
21.96125602722168	236.63	816.6847085775985
22.11926507949829	237.08	796.1535526868524
22.278274297714233	237.95	822.0467536334323
22.464284896850586	238.85	830.1853445851611
