Time(s)	Temp(K)	mass1.95734	mass17.6364	mass27.8653	mass44.06
0.0	304.03	956.6710202371463	952.0222163288818	951.8566424910532	952.9010313142796
0.4610261917114258	304.02	959.2055736008302	961.8547550060877	960.721211039415	964.363835471644
0.9190523624420166	304.0	950.0225938258748	949.3348255764329	949.6914461502175	946.5710161296017
1.3950796127319336	304.02	958.4413866570059	962.1476933345537	964.4911999622816	959.3329380914674
1.8901081085205078	303.97	964.516672860409	961.7528634135779	953.4996444202754	952.5826200876861
2.3471341133117676	304.0	946.8639544580677	947.3097301752986	950.3282686034046	954.6841341832031
2.9611692428588867	304.06	959.3456745405313	964.2746803281981	962.2241120289361	956.2252445199153
3.4171953201293945	304.09	947.9847619756769	949.7806012936638	957.5880445697355	958.0720296341575
3.8992228507995605	304.23	949.0164143498395	948.50695638729	958.339495064496	958.9890539667466
4.356249094009399	304.39	962.4661045611471	952.3915733517301	947.1441563374699	947.5262498093821
4.811275243759155	304.8	958.9508446195554	964.0836335922419	962.3896858667648	953.3468070315105
5.278301954269409	305.36	952.3406275554752	959.1291549064478	963.9817419997321	952.200526615774
5.757328987121582	306.45	964.5421457585365	963.5359662825012	956.7601753805924	952.0731621251368
6.236356496810913	307.6	958.4413866570059	957.8173006528828	951.7547508985433	951.1561377925476
6.699383020401001	309.19	949.5640816595803	950.2263770108947	957.2314239959508	960.9886764697535
7.155409097671509	311.76	964.1091064903694	963.255764403099	957.1550053015683	951.9840069816905
7.640436887741089	314.28	959.7659773596347	963.9944784487958	960.8995213263073	951.6019135097785
8.096462965011597	317.13	949.0546236970307	951.7802237966708	950.1117489693211	946.5200703333468
8.552489042282104	320.45	963.1666092596527	954.696870632267	952.3278911064115	949.0164143498395
9.019515752792358	324.94	963.8671139581584	964.6949831473013	959.4220932349137	952.5953565367499
9.508543729782104	328.8	959.065472661129	960.6065829978413	961.5236073304304	951.8056966947983
10.001571893692017	332.82	960.2881717712479	955.2827472891988	951.7038051022882	947.0167918468327
10.456598043441772	337.82	959.8041867068258	963.6123849768837	959.9060782993357	951.9330611854356
10.917624473571777	341.79	957.995610939775	951.2707658341211	946.4309151899006	949.8570199880463
11.394651651382446	345.71	947.4116217678085	950.5829975846794	958.9126352723642	963.8161681619034
11.852677822113037	349.39	961.6254989229404	963.4722840371825	953.0666051521083	951.6019135097785
12.317704439163208	352.93	964.5421457585365	952.302418208284	950.1499583165123	951.0669826491014
12.772730588912964	357.26	958.581487596707	963.7397494675209	963.7015401203298	959.9697605446545
13.255758047103882	360.47	959.0527362120654	963.7397494675209	963.6123849768837	952.7991397217698
13.713784217834473	363.57	952.1750537176466	949.9461751314924	949.3730349236242	958.9381081704915
14.177810907363892	366.46	951.3981303247585	946.5964890277293	946.609225476793	953.7416369524865
14.634836912155151	369.87	963.7652223656485	952.7864032727061	951.2070835888026	946.7620628655578
15.114864349365234	372.44	953.5378537674666	951.7547508985433	948.0484442209953	948.8763134101384
15.573890686035156	375.02	948.4687470400988	959.2055736008302	961.9948559457888	963.5614391806287
16.063918828964233	378.03	955.6393678629835	947.093210541215	952.69724812926	958.4031773098146
16.52594494819641	380.34	950.4556330940419	947.7045600962746	952.0349527779456	959.2310464989578
17.00397253036499	382.59	959.2819922952126	964.363835471644	962.1476933345537	952.7099845783237
17.46099853515625	384.79	952.3406275554752	947.1696292355974	949.86975643711	958.9763175176829
17.91902470588684	386.97	959.3202016424037	960.8867848772436	963.7524859165846	953.0029229067896
18.37605094909668	389.71	946.7365899674305	949.2074610857956	958.2376034719862	959.1418913555115
18.858078479766846	391.8	946.558279680538	948.9145227573297	953.8690014431238	958.9381081704915
19.315104722976685	394.07	964.1982616338156	959.3456745405313	951.9203247363718	947.1059469902787
19.771130561828613	396.16	951.474549019141	958.6961156382806	959.40935678585	960.0971250352918
20.237157344818115	398.34	954.7605528775854	960.2754353221841	963.9690055506683	956.5436557465089
20.71818494796753	401.02	958.7725343326631	964.2746803281981	963.7015401203298	952.8246126198973
21.1952121257782	403.26	957.995610939775	951.6273864079058	946.6601712730479	949.0546236970307
21.659238576889038	405.27	951.6910686532245	946.9149002543227	948.9782050026483	959.6386128689973
22.114264726638794	408.0	963.1666092596527	961.9693830476614	952.7481939255149	951.3981303247585
22.60329246520996	410.11	946.8766909071314	948.2777003041427	958.9126352723642	963.5104933843737
23.059318780899048	412.26	953.5378537674666	949.6914461502175	948.4687470400988	957.7408819585003
23.5383460521698	414.42	947.8446610359756	950.7358349734442	958.4795960041971	958.4031773098146
23.995372533798218	417.07	964.6822466982376	953.6015360127852	949.9334386824287	947.2078385827887
24.479399919509888	419.18	959.8678689521446	961.7019176173229	964.363835471644	963.2048186068439
24.935425996780396	421.32	955.4228482288999	960.6320558959688	964.0708971431782	963.9562691016046
25.399452686309814	423.46	959.7787138086984	964.2364709810068	963.1920821577802	958.1739212266674
25.85447883605957	426.14	949.7806012936638	946.6983806202392	949.7041825992814	957.753618407564
26.33950638771057	428.25	952.4170462498577	947.6663507490833	947.1059469902787	950.1117489693211
26.79653263092041	430.5	964.4147812678991	955.9832519877044	952.251472412029	953.2576518880644
27.251558542251587	432.58	949.2456704329868	956.1870351727241	957.8173006528828	959.1546278045753
27.719585418701172	434.82	951.3217116303762	949.5513452105166	957.804564203819	963.9180597544133
28.20261287689209	437.53	946.9149002543227	952.9647135595984	958.4923324532608	959.2692558461489
28.675639867782593	439.64	962.4533681120834	953.95815658657	951.9967434307542	953.0411322539809
29.13766646385193	441.85	952.2387359629653	951.5000219172686	947.1823656846612	948.2140180588241
